Account_external_customer_ID,Account_name,Account_Type,Account_labels,VG
7391259827,Miele Australia_Professional,Professional (B2B),Professional (B2B),AU
2815831681,Miele Australia_Shop,Domestic,VG AU; Domestic - Active,AU
1527217052,Miele Austria_CSS,Domestic,Slopelift; VG AT; Domestic - Active,AT
9007782749,Miele Austria_Display,Domestic,VG AT; Domestic - Active,AT
1924628339,Miele Austria_Search,Domestic,Slopelift; VG AT; Domestic - Active,AT
9788489723,Miele Austria_YouTube,Domestic,VG AT; Domestic - Active,AT
4541976884,Miele Belgium_Search_B2B,Professional (B2B),VG BE; Active; Professional (B2B),BE
1394518818,Miele Belgium_Search_B2C,Domestic,VG BE; Domestic - Active,BE
8782622660,Miele Belgium_Search_Outlet,Domestic,VG BE; Domestic - Active,BE
2385231239,Miele Bulgaria_Search,Domestic,VG BG; Cluster CEE; Domestic - Active,BG
9716359572,Miele Canada,Domestic,Domestic - Active; VG CA,CA
4072113058,Miele Chile_On,Domestic,VG CL; Domestic - Active,CL
6507115995,Miele Commercial - Ireland,Professional (B2B),--,IE
1862537884,Miele Croatia,Domestic,VG HR; Domestic - Active,HR
7001626642,Miele Cyprus,Domestic,Domestic - Active; VG GR,CY
6764482324,Miele Denmark,Domestic,LinkChecker_Done; VG DK; Domestic - Active,DK
5756915525,Miele Estonia_Performance,Domestic,VG Baltic; Domestic - Active,EE
8932916344,Miele Finland,Domestic,VG FI; Domestic - Active; Nordics,FI
3475392814,Miele France,Domestic,Domestic - Active; VG FR,FR
3867155565,Miele France_Professional,Professional (B2B),Active; Professional (B2B); VG FR,FR
9032836810,Miele Germany - HAM - Miele & Cie. KG - 44735318,Domestic,VG DE; Domestic - Active,DE
3557422869,Miele Germany_Professional,Professional (B2B),VG DE; Active; Professional (B2B),DE
2439938418,Miele Great Britain,Domestic,Domestic - Active; VG GB,GB
5111323885,Miele Great Britain_Experience Centre,Domestic,Active; VG GB,GB
8746562317,Miele Great Britain_Professional,Professional (B2B),Active; VG GB,GB
8804199230,Miele Greece,Domestic,Domestic - Active; VG GR,GR
2654526115,Miele Greece Professional,Professional (B2B),Active; Professional (B2B); VG GR,GR
4451410786,Miele Hong Kong,Domestic,VG HK; Domestic - Active,HK
5188334884,Miele Hungary,Domestic,Domestic - Active; VG HU,HU
7007947609,Miele India,Domestic,Domestic - Active; VG IN,IN
1442591027,Miele Ireland,Domestic,VG IE; Domestic - Active,IE
3300755732,Miele Italy_Display,Domestic,VG IT; Domestic - Active,IT
5588863004,Miele Italy_Professional,Professional (B2B),VG IT; Active; Professional (B2B),IT
3628278351,Miele Italy_Search,Domestic,VG IT; Domestic - Active,IT
3625601596,Miele Italy_Search Branding,Domestic,VG IT; Domestic - Active,IT
2435101831,Miele Italy_Shopping,Domestic,VG IT; Domestic - Active,IT
1036754585,Miele Japan,Domestic,VG JP; Domestic - Active,JP
8678941888,Miele Latvia_Performance,Domestic,VG Baltic; Domestic - Active,LV
5613707152,Miele Lithuania_Performance,Domestic,VG Baltic; Domestic - Active,LT
2719699993,Miele Luxembourg_Search_B2C,Domestic,VG LU; Domestic - Active,LU
4229919264,Miele Mexico_On,Domestic,VG MX; Domestic - Active,MX
6305670929,Miele Netherlands,Domestic,VG NL; Domestic - Active,NL
3894438795,Miele Netherlands_Professional,Professional (B2B),VG NL; Active; Professional (B2B),NL
7097933758,Miele New Zealand_Generation 7000 NEW,Domestic,VG NZ; Domestic - Active,NZ
2078670105,Miele New Zealand_Generation 7000_old,Domestic,VG NZ,NZ
1632647151,Miele New Zealand_Shop,Domestic,VG NZ; Domestic - Active,NZ
1433278078,Miele Norway,Domestic,VG NO; Domestic - Active; Nordics,NO
6267857652,Miele Poland,Domestic,VG PL; Cluster CEE; Domestic - Active,PL
2867420579,Miele Portugal,Domestic,VG PT; Domestic - Active,PT
3462386748,Miele Portugal_Professional,Professional (B2B),Professional (B2B),PT
1708773207,Miele PRO | VG AT,Professional (B2B),VG AT; Active; Professional (B2B),AT
4027301178,Miele Professional Schweiz,Professional (B2B),VG CH; Active; Professional (B2B),CH
2918051048,Miele Professional Sweden,Professional (B2B),Professional (B2B),SE
6185807036,Miele Proff.,Professional (B2B),LinkChecker_Done; VG DK; Active; Professional (B2B),DK
4391902796,Miele Romania,Domestic,VG RO; Domestic - Active,RO
9902987081,Miele Russia_Shop,Domestic,VG RU; Domestic - Active,RU
4172918127,Miele Serbia,Domestic,VG RS; Cluster CEE; Domestic - Active,RS
8253059793,Miele Singapore,Domestic,VG SG; Domestic - Active,SG
6415019923,Miele Slovakia,Domestic,Cluster CEE; Domestic - Active; VG SK,SK
5956168334,Miele Slovenia,Domestic,VG SI; Domestic - Active,SI
3424763451,Miele South Africa,Domestic,VG ZA; Domestic - Active,ZA
4276802779,Miele Spain,Domestic,VG ES; Domestic - Active,ES
9081481184,Miele Spain_PR,Professional (B2B),VG ES; Active; Professional (B2B),ES
8774732288,Miele Sweden,Domestic,VG SE; Domestic - Active; Nordics,SE
4782763232,Miele Switzerland,Domestic,VG CH; Domestic - Active,CH
9164481572,Miele Turkey,Domestic,VG TR; Domestic - Active,TR
4422164213,Miele Ukraine_Shop,Domestic,Domestic - Active; VG UA,UA
1181851029,Miele United Arab Emirates,Domestic,VG AE; Domestic - Active,AE
1632037904,Miele United States,Domestic,VG US; Domestic - Active,US
9045806500,Miele United States_1SEO,Professional (B2B),VG US; Active; Professional (B2B),US
6423489951,Miele  Czech Republic,Domestic,VG CZ; Cluster CEE; Domestic - Active,CZ
6665827282,Miele Australia_Generation 7000,Domestic,VG AU; Domestic - Active,AU
