rep_unit_code,rep_unit_desc,int_acct_customer_code,int_acct_customer_desc
7200,VG NL (VG7200),00,No internat customer
7200,VG NL (VG7200),D2,Fnac Darty
7200,VG NL (VG7200),D3,Der Kreis
7200,VG NL (VG7200),D6,DMG
7200,VG NL (VG7200),E1,E-Square
7200,VG NL (VG7200),E2,Euronics
7200,VG NL (VG7200),E3,Expert
7200,VG NL (VG7200),H3,Henry Schein
7200,VG NL (VG7200),L2,LLG LabLogisticsGrou
7200,VG NL (VG7200),M1,Media-Saturn
7200,VG NL (VG7200),M2,Metro
7200,VG NL (VG7200),M3,VME MHK
7200,VG NL (VG7200),T1,Fisher Scientific
7200,VG NL (VG7200),V3,VWR
7200,VG NL (VG7200),#,Not assigned
