member_code,member_desc
1,Kurzprospekt Zubehör
3,Gratis Halbjahresbed
4,"Gratis Kochbuch ""Bac"
5,Kochzubehör DGC XL /
6,Brätergutschein Seri
10,Gatis Systementkalke
11,Seriengutschein Stau
15,150 EUR Gutschein Pr
16,Staubsauger Sorglosb
17,Treuegutschein 2021
18,Cullinart Gourmet
20,Nachlass Warenkorb
26,Nachlass Geburtstags
27,Nachlass Versandkost
30,Nachlass Pflegemitte
31,Nachlass Waschmittel
32,Nachlass Spülmittel
33,Nachlass Pflegemitte
35,Nachlass Pflegemitte
36,Nachlass Pflegemitte
39,Promotoren FashionMa
40,Nachlass Warenkorb
43,CM5 WM-Aktion – Kaff
44,Nachlass Waschmittel
47,Gratis Duftflakon
48,Gutschein Caps
49,TwinDos Aktion
50,Gratis Duftflakon
51,Nachlass Spülmittel
52,Gratis Halbjahresbed
58,Aktion Cullinart Gou
59,Nachfüllbehälter Twi
60,CM 5500 Series 120 A
62,Gratis Kochbuch
63,Gratis Kochbuch
65,Gratis Kochbuch
66,Aktion Viessmann
69,Rezeptheft Gourmet B
71,Nachlass Warenkorb
76,Treuegutschein 2020
77,Gratis Kaffeekanne u
78,Gutschein B2C Shop R
79,Rezeptheft Gourmet B
82,Nachlass Spülmittel
83,Ein Jahr gratis wasc
86,Nachlass Warenkorb
89,T1 Active Plus Duftf
90,Nachlass Warenkorb
91,Nachlass Warenkorb
93,Gratis Wein
94,Nachlass Waschmittel
99,W1 SpeedCare - Ultra
104,Nachlass Spülmittel
105,Nachlass Spülmittel
123,Nachlass Spülmittel
124,Nachlass Spülmittel
139,Aktion Rezeptheft Te
143,Gutschein Produkterl
236,Gratis Duftflakon
246,Nachlass Warenkorb
260,Webshop 15 EUR Besch
261,Webshop 30 EUR Besch
262,Webshop 50 EUR Besch
264,Webshop 30 EUR Besch
265,Webshop 50 EUR Besch
283,Nachlass Waschmittel
285,Nachlass Staubbeutel
286,Nachlass Staubbeutel
296,Gratis Kaffeekanne u
315,Test Postkarte DOI –
316,Nachlass Warenkorb
319,Nachlass Warenkorb
320,Nachlass Warenkorb
321,Nachlass Duftflakon
327,Nachlass Waschmittel
328,200 EUR Sondergutsch
336,Gerätepräsentation k
359,Nachlass Warenkorb
360,Nachlass Warenkorb
361,Nachlass Warenkorb
362,Nachlass Warenkorb
363,Nachlass Warenkorb
364,Nachlass Warenkorb
389,Nachlass Waschmittel
390,Nachlass Warenkorb
395,Gratis Trocknerkorb
397,Nachlass Staubbeutel
406,Gratis Pizzastein
407,Nachlass Warenkorb
408,Nachlass Warenkorb
409,Nachlass Warenkorb
410,Nachlass Warenkorb
476,Nachlass Duftflakon
477,Nachlass Versandkost
486,Nachlass Warenkorb
492,Nachlass Warenkorb
493,Nachlass Warenkorb
494,Nachlass Warenkorb
518,Nachlass Warenkorb
519,Nachlass Warenkorb
529,Nachlass Warenkorb
530,Nachlass Warenkorb
532,Gutschein Online-Sho
552,Nachlass HEPA-Filter
553,Gratis Kaffeekanne
558,Nachlass Warenkorb
571,Nachlass Kaffeebohne
577,Newslettergutschein
578,Newslettergutschein
579,Newslettergutschein
581,Nachlass Warenkorb
585,Nachlass Kaffeebohne
591,Nachlass Warenkorb
592,Nachlass Warenkorb
605,20 EUR Gutschein bei
615,Nachlass Kaffeebohne
681,Nachlass Backblech
687,Nachlass Warenkorb
688,Nachlass Warenkorb
689,Nachlass Warenkorb
690,Nachlass Warenkorb
691,Nachlass Warenkorb
692,Nachlass Warenkorb
697,Nachlass Waschmittel
714,Nachlass Warenkorb
720,Nachlass Staubbeutel
730,Nachlass Warenkorb
736,Nachlass Waschmittel
737,Nachlass Spülmittel
743,Nachlass Waschmittel
744,Nachlass Waschmittel
745,Nachlass HEPA-Filter
746,Nachlass Staubbeutel
747,Gratis Milchbehälter
748,Gratis Pflegeset CM
749,Gratis Kaffeekanne u
750,Nachlass Staubbeutel
751,Nachlass Staubbeutel
755,Nachlass Pflegemitte
758,Nachlass Warenkorb
759,Nachlass Warenkorb
760,Nachlass Warenkorb
762,Nachlass Warenkorb
763,Nachlass Warenkorb
769,Gutschein Versandkos
772,Gutschein Rabattakti
773,Nachlass Warenkorb
775,Nachlass Gutschein V
776,Nachlass Warenkorb
777,Nachlass Warenkorb
778,Nachlass Gutschein E
779,Nachlass Gutschein R
781,Nachlass Warenkorb
783,Nachlass Warenkorb
4089,4089
#,Gutschein Produkterl
